Modified iata,Modified name,Modified city,Modified state,Modified country,Modified latitude,Modified longitude
Modified 82C,Modified Mauston-New Lisbon Union,Modified New Lisbon,Modified WI,Modified USA,Modified 43.83872167,Modified -90.13768389
Modified 82V,Modified Pine Bluffs Municipal,Modified Pine Bluffs,Modified WY,Modified USA,Modified 41.15331528,Modified -104.1302292
Modified 83D,Modified Mackinac County,Modified St Ignace,Modified MI,Modified USA,Modified 45.89029056,Modified -84.73755083
Modified 84D,Modified Cheyenne Eagle Butte,Modified Eagle Butte,Modified SD,Modified USA,Modified 44.984375,Modified -101.2510417
Modified 84K,Modified Meyers Chuck SPB,Modified Meyers Chuck,Modified AK,Modified USA,Modified 55.73963611,Modified -132.2550183
Modified 84R,Modified Smithville Municipal,Modified Smithville,Modified TX,Modified USA,Modified 30.03048028,Modified -97.16687194
Modified 85V,Modified Ganado,Modified Ganado,Modified AZ,Modified USA,Modified 35.70140278,Modified -109.5103814
Modified 86F,Modified Carnegie Municipal,Modified Carnegie,Modified OK,Modified USA,Modified 35.12061417,Modified -98.5806175
Modified 87I,Modified Yazoo County,Modified Yazoo City,Modified MS,Modified USA,Modified 32.883215,Modified -90.4636475
Modified 87Y,Modified Blackhawk Airfield,Modified Madison,Modified WI,Modified USA,Modified 43.10491444,Modified -89.18553833
Modified 88C,Modified Palmyra Municipal,Modified Palmyra,Modified WI,Modified USA,Modified 42.88355556,Modified -88.59743056
Modified 88J,Modified Allendale County,Modified Allendale,Modified SC,Modified USA,Modified 32.99512944,Modified -81.27024583
Modified 88M,Modified Eureka,Modified Eureka,Modified MT,Modified USA,Modified 48.96885444,Modified -115.0704464
Modified 89D,Modified Kelleys Island Land,Modified Kelleys Island,Modified OH,Modified USA,Modified 41.60282583,Modified -82.684625
Modified 8A0,Modified Albertville Municipal,Modified Albertville,Modified AL,Modified USA,Modified 34.22910972,Modified -86.25575806
Modified 8A1,Modified Guntersville Municipal,Modified Guntersville,Modified AL,Modified USA,Modified 34.39944167,Modified -86.27016111
Modified 8A3,Modified Livingston Municipal,Modified Livingston,Modified TN,Modified USA,Modified 36.41217389,Modified -85.31154861
Modified 8B0,Modified Rangeley Municipal,Modified Rangeley,Modified ME,Modified USA,Modified 44.991895,Modified -70.66462472
Modified 8D1,Modified New Holstein Municipal,Modified New Holstein,Modified WI,Modified USA,Modified 43.94424111,Modified -88.1134775
Modified 8D3,Modified Sisseton Municipal,Modified Sisseton,Modified SD,Modified USA,Modified 45.67079278,Modified -96.99619167
Modified 8D4,Modified Sparta,Modified Sparta,Modified MI,Modified USA,Modified 43.12860833,Modified -85.67689778
Modified 8D7,Modified Clark County,Modified Clark,Modified SD,Modified USA,Modified 44.89570278,Modified -97.71191361
Modified 8D9,Modified Howard Municipal,Modified Howard,Modified SD,Modified USA,Modified 44.02914056,Modified -97.53784778
Modified 8F7,Modified Decatur Municipal,Modified Decatur,Modified TX,Modified USA,Modified 33.25463889,Modified -97.58055556
Modified 8G2,Modified Lawrence,Modified Corry,Modified PA,Modified USA,Modified 41.90755611,Modified -79.64105083
Modified 8G6,Modified Harrison County,Modified Cadiz,Modified OH,Modified USA,Modified 40.23820667,Modified -81.01256917
Modified 8G7,Modified Zelienople,Modified Zelienople,Modified PA,Modified USA,Modified 40.80161944,Modified -80.16072889
Modified 8K8,Modified Cimarron Municipal,Modified Cimarron,Modified KS,Modified USA,Modified 37.83057667,Modified -100.3504222
Modified 8K9,Modified Murphys Pullout SPB,Modified Ketchikan,Modified AK,Modified USA,Modified 55.38965028,Modified -131.7380742
Modified 8M1,Modified Booneville-Baldwyn,Modified Booneville,Modified MS,Modified USA,Modified 34.58981806,Modified -88.64699861
Modified 8S1,Modified Polson,Modified Polson,Modified MT,Modified USA,Modified 47.69543861,Modified -114.1851178
Modified 8S2,Modified Cashmere-Dryden,Modified Cashmere,Modified WA,Modified USA,Modified 47.51484611,Modified -120.4848025
Modified 8S5,Modified East Cooper,Modified Mt Pleasant,Modified SC,Modified USA,Modified 32.89783333,Modified -79.78286111
Modified 8U6,Modified Terry,Modified Terry,Modified MT,Modified USA,Modified 46.77917333,Modified -105.3047083
Modified 8U8,Modified Townsend,Modified Townsend,Modified MT,Modified USA,Modified 46.33111111,Modified -111.4813889
Modified 8V2,Modified Stuart-Atkinson Municipal,Modified Atkinson,Modified NE,Modified USA,Modified 42.56250167,Modified -99.03787611
Modified 8Y2,Modified Buffalo Municipal,Modified Buffalo,Modified MN,Modified USA,Modified 45.15904694,Modified -93.84330361
Modified 91C,Modified Sauk - Prairie,Modified Prairie Du Sac,Modified WI,Modified USA,Modified 43.2969325,Modified -89.75595639
Modified 91F,Modified Arrowhead,Modified Canadian,Modified OK,Modified USA,Modified 35.15426444,Modified -95.62026389
Modified 93B,Modified Stonington,Modified Stonington,Modified ME,Modified USA,Modified 44.17508056,Modified -68.67863722
Modified 93C,Modified Richland,Modified Richland Center,Modified WI,Modified USA,Modified 43.28333333,Modified -90.29827778
Modified 93F,Modified Mignon Laird Municipal,Modified Cheyenne,Modified OK,Modified USA,Modified 35.60393694,Modified -99.70343889
Modified 93Y,Modified David City Municipal,Modified David City,Modified NE,Modified USA,Modified 41.23334583,Modified -97.11698111
Modified 94K,Modified Cassville Municipal,Modified Cassville,Modified MO,Modified USA,Modified 36.69741667,Modified -93.90052778
Modified 95F,Modified Cleveland Municipal,Modified Cleveland,Modified OK,Modified USA,Modified 36.28340306,Modified -96.46418833
Modified 96D,Modified Walhalla Municipal,Modified Walhalla,Modified ND,Modified USA,Modified 48.94057222,Modified -97.902775
Modified 96Z,Modified North Whale SPB,Modified North Whale Pass,Modified AK,Modified USA,Modified 56.11631056,Modified -133.1217153
Modified 97M,Modified Ekalaka,Modified Ekalaka,Modified MT,Modified USA,Modified 45.87791444,Modified -104.5375072
Modified 98D,Modified Onida Municipal,Modified Onida,Modified SD,Modified USA,Modified 44.70414917,Modified -100.1087353
Modified 99N,Modified Bamburg County,Modified Bamburg,Modified SC,Modified USA,Modified 33.30515528,Modified -81.10898917
Modified 99Y,Modified Greeley Municipal,Modified Greeley,Modified NE,Modified USA,Modified 41.55834528,Modified -98.54618528
Modified 9A1,Modified Covington Municipal,Modified Covington,Modified GA,Modified USA,Modified 33.6324825,Modified -83.84955806
Modified 9A3,Modified Chuathbaluk,Modified Chuathbaluk,Modified AK,Modified USA,Modified 61.58317306,Modified -159.2359667
Modified 9A4,Modified Lawrence County,Modified Courtland,Modified AL,Modified USA,Modified 34.65938889,Modified -87.34883333
Modified 9A5,Modified Barwick-LaFayette,Modified LaFayette,Modified GA,Modified USA,Modified 34.68896917,Modified -85.29023333
Modified 9A6,Modified Chester Municipal,Modified Chester,Modified SC,Modified USA,Modified 34.78933333,Modified -81.19577778
Modified 9A8,Modified Ugashik,Modified Ugashik,Modified AK,Modified USA,Modified 57.5278675,Modified -157.3993056
Modified 9C8,Modified Evart Municipal,Modified Evart,Modified MI,Modified USA,Modified 43.8958525,Modified -85.27920861
Modified 9D0,Modified Highmore Municipal,Modified Highmore,Modified SD,Modified USA,Modified 44.54165056,Modified -99.44622306
Modified 9D1,Modified Gregory Municipal,Modified Gregory,Modified SD,Modified USA,Modified 43.22174722,Modified -99.4033
Modified 9D2,Modified Harding County,Modified Buffalo,Modified SD,Modified USA,Modified 45.58055222,Modified -103.5296356
Modified 9D7,Modified Cando Municipal,Modified Cando,Modified ND,Modified USA,Modified 48.4841675,Modified -99.23680389
Modified 9D9,Modified Hastings Municipal,Modified Hastings,Modified MI,Modified USA,Modified 42.66361778,Modified -85.34625944
Modified 9G0,Modified Buffalo Airfield,Modified Buffalo,Modified NY,Modified USA,Modified 42.86200306,Modified -78.71658528
Modified 9G1,Modified West Penn,Modified Tarentum,Modified PA,Modified USA,Modified 40.60423333,Modified -79.82060611
Modified 9G3,Modified Akron,Modified Akron,Modified NY,Modified USA,Modified 43.02108667,Modified -78.48296778
Modified 9G5,Modified Royalton,Modified Gasport,Modified NY,Modified USA,Modified 43.18200222,Modified -78.55780528
Modified 9G8,Modified Ebensburg,Modified Ebensburg,Modified PA,Modified USA,Modified 40.46121083,Modified -78.77524389
Modified 9I0,Modified Havana Regional,Modified Havana,Modified IL,Modified USA,Modified 40.221155,Modified -90.02289361
Modified 9I3,Modified West Liberty,Modified West Liberty,Modified KY,Modified USA,Modified 37.91453139,Modified -83.25212111
Modified 9K2,Modified Kokhanok,Modified Kokhanok,Modified AK,Modified USA,Modified 59.43264556,Modified -154.8027058
Modified 9K4,Modified Skyhaven,Modified Warrensburg,Modified MO,Modified USA,Modified 38.7842425,Modified -93.80285417
Modified 9K7,Modified Ellsworth Municipal,Modified Ellsworth,Modified KS,Modified USA,Modified 38.74750889,Modified -98.23061222
Modified 9K8,Modified Kingman Municipal,Modified Kingman,Modified KS,Modified USA,Modified 37.66660278,Modified -98.12264722
Modified 9M4,Modified Ackerman-Choctaw County,Modified Ackerman,Modified MS,Modified USA,Modified 33.3034575,Modified -89.22840028
Modified 9M6,Modified Kelly,Modified Oak Grove,Modified LA,Modified USA,Modified 32.84921361,Modified -91.40390611
Modified 9M8,Modified Sheridan-Grant County Regional,Modified Sheridan,Modified AR,Modified USA,Modified 34.32842917,Modified -92.35098583
Modified 9S2,Modified Scobey,Modified Scobey,Modified MT,Modified USA,Modified 48.80772722,Modified -105.43947
Modified 9S4,Modified Mineral County,Modified Superior,Modified MT,Modified USA,Modified 47.16825944,Modified -114.8537411
Modified 9S5,Modified Three Forks,Modified Three Forks,Modified MT,Modified USA,Modified 45.87852778,Modified -111.5691389
Modified 9S7,Modified Winifred,Modified Winifred,Modified MT,Modified USA,Modified 47.55164778,Modified -109.3776792
Modified 9S9,Modified Lexington,Modified Lexington,Modified OR,Modified USA,Modified 45.45263139,Modified -119.6886361
Modified 9U0,Modified Turner,Modified Turner,Modified MT,Modified USA,Modified 48.85417361,Modified -108.4090214
Modified 9U3,Modified Austin,Modified Austin,Modified NV,Modified USA,Modified 39.46798056,Modified -117.1953703
Modified 9U4,Modified Dixon,Modified Dixon,Modified WY,Modified USA,Modified 41.03829806,Modified -107.4972869
Modified 9V5,Modified Modisett,Modified Rushville,Modified NE,Modified USA,Modified 42.73748639,Modified -102.4448947
Modified 9V6,Modified Martin Municipal,Modified Martin,Modified SD,Modified USA,Modified 43.16564083,Modified -101.7126953
Modified 9V9,Modified Chamberlain Municipal,Modified Chamberlain,Modified SD,Modified USA,Modified 43.76612222,Modified -99.32134
Modified 9W7,Modified Currituck County,Modified Currituck,Modified NC,Modified USA,Modified 36.39893194,Modified -76.01631111
Modified A04,Modified Centre Municipal,Modified Centre,Modified AL,Modified USA,Modified 34.15987361,Modified -85.63512944
Modified A14,Modified Portage Creek,Modified Portage Creek,Modified AK,Modified USA,Modified 58.906485,Modified -157.7141078
Modified A29,Modified Sitka SPB,Modified Sitka,Modified AK,Modified USA,Modified 57.05213778,Modified -135.3462086
Modified A30,Modified Scott Valley,Modified Fort Jones,Modified CA,Modified USA,Modified 41.55819444,Modified -122.8553103
Modified A32,Modified Butte Valley,Modified Dorris,Modified CA,Modified USA,Modified 41.88709222,Modified -121.9755614
Modified A61,Modified Tuntutuliak,Modified Tuntutuliak,Modified AK,Modified USA,Modified 60.33534556,Modified -162.6670094
Modified A63,Modified Twin Hills,Modified Twin Hills,Modified AK,Modified USA,Modified 59.07562167,Modified -160.2730436
Modified A79,Modified Chignik Lake,Modified Chignik Lake,Modified AK,Modified USA,Modified 56.25504722,Modified -158.7753614
Modified A85,Modified Kwigillingok,Modified Kwigillingok,Modified AK,Modified USA,Modified 59.87644778,Modified -163.1675583
Modified AAF,Modified Apalachicola Municipal,Modified Apalachicola,Modified FL,Modified USA,Modified 29.72754583,Modified -85.02744778
Modified AAO,Modified Colonel James Jabara,Modified Wichita,Modified KS,Modified USA,Modified 37.74755556,Modified -97.22113889
Modified AAS,Modified Taylor County,Modified Cambellsville,Modified KY,Modified USA,Modified 37.35827778,Modified -85.30941667
Modified AAT,Modified Alturas Municipal,Modified Alturas,Modified CA,Modified USA,Modified 41.483,Modified -120.5653611
Modified ABE,Modified Lehigh Valley International,Modified Allentown,Modified PA,Modified USA,Modified 40.65236278,Modified -75.44040167
Modified ABI,Modified Abilene Regional,Modified Abilene,Modified TX,Modified USA,Modified 32.41132,Modified -99.68189722
Modified ABO,Modified Antonio (Nery) Juarbe Pol,Modified Arecibo,Modified PR,Modified USA,Modified 18.45111111,Modified -66.67555556
Modified ABQ,Modified Albuquerque International,Modified Albuquerque,Modified NM,Modified USA,Modified 35.04022222,Modified -106.6091944
Modified ABR,Modified Aberdeen Regional,Modified Aberdeen,Modified SD,Modified USA,Modified 45.44905556,Modified -98.42183333
Modified ABY,Modified Southwest Georgia Regional,Modified Albany,Modified GA,Modified USA,Modified 31.535515,Modified -84.19447333
Modified ACB,Modified Antrim County,Modified Bellaire,Modified MI,Modified USA,Modified 44.98857611,Modified -85.198355
Modified ACJ,Modified Souther,Modified Americus,Modified GA,Modified USA,Modified 32.11079917,Modified -84.18884806
Modified ACK,Modified Nantucket Memorial,Modified Nantucket,Modified MA,Modified USA,Modified 41.25305194,Modified -70.06018139
Modified ACQ,Modified Waseca Municipal,Modified Waseca,Modified MN,Modified USA,Modified 44.07346389,Modified -93.55294361
Modified ACT,Modified Waco Regional,Modified Waco,Modified TX,Modified USA,Modified 31.61128833,Modified -97.23051917
Modified ACV,Modified Arcata,Modified Arcata/Eureka,Modified CA,Modified USA,Modified 40.97811528,Modified -124.1086189
Modified ACY,Modified Atlantic City International,Modified Atlantic City,Modified NJ,Modified USA,Modified 39.45758333,Modified -74.57716667
Modified ACZ,Modified Henderson,Modified Wallace,Modified NC,Modified USA,Modified 34.71789028,Modified -78.00362444
Modified ADC,Modified Wadena Municipal,Modified Wadena,Modified MN,Modified USA,Modified 46.45026972,Modified -95.21095472
Modified ADG,Modified Lenawee County,Modified Adrian,Modified MI,Modified USA,Modified 41.86943667,Modified -84.07480528
Modified ADH,Modified Ada Municipal,Modified Ada,Modified OK,Modified USA,Modified 34.80434056,Modified -96.6712775
Modified ADK,Modified Adak,Modified Adak,Modified AK,Modified USA,Modified 51.87796389,Modified -176.6460306
Modified ADM,Modified Ardmore Municipal,Modified Ardmore,Modified OK,Modified USA,Modified 34.30320667,Modified -97.01952167
Modified ADQ,Modified Kodiak,Modified Kodiak,Modified AK,Modified USA,Modified 57.74996778,Modified -152.4938553
Modified ADS,Modified Addison,Modified Dallas/Addison,Modified TX,Modified USA,Modified 32.96855944,Modified -96.83644778
Modified ADT,Modified Atwood-Rawlins County City-County,Modified Atwood,Modified KS,Modified USA,Modified 39.84013889,Modified -101.0420278
Modified ADU,Modified Audubon Municipal,Modified Audubon,Modified IA,Modified USA,Modified 41.70137556,Modified -94.92054167
Modified AEG,Modified Double Eagle II,Modified Albuquerque,Modified NM,Modified USA,Modified 35.14515278,Modified -106.7951617
Modified AEL,Modified Albert Lea Municipal,Modified Albert Lea,Modified MN,Modified USA,Modified 43.68151278,Modified -93.36723778
Modified AEX,Modified Alexandria International,Modified Alexandria,Modified LA,Modified USA,Modified 31.32737167,Modified -92.54855611
Modified AFE,Modified Kake,Modified Kake,Modified AK,Modified USA,Modified 56.96048139,Modified -133.9082694
Modified AFJ,Modified Washington County,Modified Washington,Modified PA,Modified USA,Modified 40.13648833,Modified -80.29020083
Modified AFK,Modified Nebraska City Municipal,Modified Nebraska City,Modified NE,Modified USA,Modified 40.60688889,Modified -95.86569444
Modified AFM,Modified Ambler,Modified Ambler,Modified AK,Modified USA,Modified 67.10610472,Modified -157.8536203
Modified AFN,Modified Jaffrey Municipal Silver Ranch,Modified Jaffrey,Modified NH,Modified USA,Modified 42.80513417,Modified -72.00302194
Modified AFO,Modified Afton Municipal,Modified Afton,Modified WY,Modified USA,Modified 42.71124583,Modified -110.9421639
Modified AFW,Modified Fort Worth Alliance,Modified Fort Worth,Modified TX,Modified USA,Modified 32.98763889,Modified -97.31880556
Modified AGC,Modified Allegheny Cty,Modified Pittsburgh,Modified PA,Modified USA,Modified 40.35440139,Modified -79.93016889
Modified AGN,Modified Angoon SPB,Modified Angoon,Modified AK,Modified USA,Modified 57.50355528,Modified -134.5850939
Modified AGO,Modified Magnolia Municipal,Modified Magnolia,Modified AR,Modified USA,Modified 33.22802111,Modified -93.21696861
Modified AGS,Modified Bush,Modified Augusta,Modified GA,Modified USA,Modified 33.369955,Modified -81.96449611
Modified AGZ,Modified Wagner Municipal,Modified Wagner,Modified SD,Modified USA,Modified 43.06332694,Modified -98.29618972
Modified AHH,Modified Amery Municipal,Modified Amery,Modified WI,Modified USA,Modified 45.28114833,Modified -92.37539222
Modified AHN,Modified Athens Municipal,Modified Athens,Modified GA,Modified USA,Modified 33.94859528,Modified -83.32634694
Modified AHP,Modified Port Alexander SPB,Modified Port Alexander,Modified AK,Modified USA,Modified 56.24684222,Modified -134.6481539
Modified AHQ,Modified Wahoo Municipal,Modified Wahoo,Modified NE,Modified USA,Modified 41.24133333,Modified -96.59402778
Modified AIA,Modified Alliance Municipal,Modified Alliance,Modified NE,Modified USA,Modified 42.05325,Modified -102.8037222
Modified AID,Modified Anderson Municipal,Modified Anderson,Modified IN,Modified USA,Modified 40.10862139,Modified -85.61299472
Modified AIG,Modified Langlade County,Modified Antigo,Modified WI,Modified USA,Modified 45.15419444,Modified -89.11072222
Modified AIK,Modified Aiken Municipal,Modified Aiken,Modified SC,Modified USA,Modified 33.64955556,Modified -81.68447222
Modified AIO,Modified Atlantic Municipal,Modified Atlantic,Modified IA,Modified USA,Modified 41.40726722,Modified -95.04690639
Modified AIT,Modified Aitkin Municipal,Modified Aitkin,Modified MN,Modified USA,Modified 46.5484225,Modified -93.6768
Modified AIV,Modified George Downer,Modified Aliceville,Modified AL,Modified USA,Modified 33.10706889,Modified -88.19725167
Modified AIY,Modified Atlantic City Municipal,Modified Atlantic City,Modified NJ,Modified USA,Modified 39.36002778,Modified -74.45608333
Modified AIZ,Modified Lee C Fine Memorial,Modified Kaiser/Lake Ozark,Modified MO,Modified USA,Modified 38.096035,Modified -92.5494875
Modified AJC,Modified Chignik (Anchorage Bay),Modified Chignik,Modified AK,Modified USA,Modified 56.3114625,Modified -158.3732369
Modified AJG,Modified Mt Carmel Municipal,Modified Mt Carmel,Modified IL,Modified USA,Modified 38.60654722,Modified -87.72669417
Modified AJO,Modified Corona Municipal,Modified Corona,Modified CA,Modified USA,Modified 33.89765389,Modified -117.60244
Modified AJR,Modified Habersham County,Modified Cornelia,Modified GA,Modified USA,Modified 34.50081944,Modified -83.55487
Modified AK5,Modified Perryville,Modified Perryville,Modified AK,Modified USA,Modified 55.90806056,Modified -159.1585781
Modified AKA,Modified Atka,Modified Atka,Modified AK,Modified USA,Modified 52.22034833,Modified -174.2063503
Modified AKH,Modified Gastonia Municipal,Modified Gastonia,Modified NC,Modified USA,Modified 35.20265944,Modified -81.1498675
Modified AKI,Modified Akiak,Modified Akiak,Modified AK,Modified USA,Modified 60.90481194,Modified -161.2270189
Modified AKK,Modified Akhiok,Modified Akhiok,Modified AK,Modified USA,Modified 56.93869083,Modified -154.1825556
Modified AKN,Modified King Salmon,Modified King Salmon,Modified AK,Modified USA,Modified 58.67680167,Modified -156.6492175
Modified AKO,Modified Akron-Washington Co,Modified Akron,Modified CO,Modified USA,Modified 40.17563333,Modified -103.2220278
Modified AKP,Modified Anaktuvuk Pass,Modified Anaktuvuk Pass,Modified AK,Modified USA,Modified 68.1343225,Modified -151.74168
Modified AKR,Modified Akron Fulton Intl.,Modified Akron,Modified OH,Modified USA,Modified 41.0375,Modified -81.46693944
Modified AKW,Modified Klawock,Modified Klawock,Modified AK,Modified USA,Modified 55.57923333,Modified -133.0759972
Modified AL08,Modified Vaiden,Modified Marion,Modified AL,Modified USA,Modified 32.51235611,Modified -87.38555472
Modified ALB,Modified Albany Cty,Modified Albany,Modified NY,Modified USA,Modified 42.74811944,Modified -73.80297861
Modified ALI,Modified Alice International,Modified Alice,Modified TX,Modified USA,Modified 27.74088889,Modified -98.02694444
Modified ALM,Modified Alamogordo-White Sands Regional,Modified Alamogordo,Modified NM,Modified USA,Modified 32.83994444,Modified -105.9905833
Modified ALN,Modified St. Louis Regional,Modified Alton/St. Louis,Modified IL,Modified USA,Modified 38.89029083,Modified -90.04604306
Modified ALO,Modified Waterloo Municipal,Modified Waterloo,Modified IA,Modified USA,Modified 42.55708139,Modified -92.40034361
Modified ALS,Modified San Luis Valley Regional/Bergman,Modified Alamosa,Modified CO,Modified USA,Modified 37.43491667,Modified -105.8665556
Modified ALW,Modified Walla Walla Regional,Modified Walla Walla,Modified WA,Modified USA,Modified 46.09456167,Modified -118.2880367
Modified ALX,Modified Thomas C Russell,Modified Alexander City,Modified AL,Modified USA,Modified 32.91475167,Modified -85.96295611
Modified AMA,Modified Amarillo International,Modified Amarillo,Modified TX,Modified USA,Modified 35.2193725,Modified -101.7059272
Modified AMG,Modified Bacon County,Modified Alma,Modified GA,Modified USA,Modified 31.53605556,Modified -82.50655556
Modified AMN,Modified Gratiot Community,Modified Alma,Modified MI,Modified USA,Modified 43.3221425,Modified -84.68794917
Modified AMT,Modified Alexander Salamon,Modified West Union,Modified OH,Modified USA,Modified 38.85148778,Modified -83.56627778
Modified AMW,Modified Ames Municipal,Modified Ames,Modified IA,Modified USA,Modified 41.99206972,Modified -93.62180139
Modified ANB,Modified Anniston Metropolitan,Modified Anniston,Modified AL,Modified USA,Modified 33.58816667,Modified -85.85811111
Modified ANC,Modified Ted Stevens Anchorage International,Modified Anchorage,Modified AK,Modified USA,Modified 61.17432028,Modified -149.9961856
Modified AND,Modified Anderson County,Modified Anderson,Modified SC,Modified USA,Modified 34.49494444,Modified -82.70902778
Modified ANE,Modified Anoka County,Modified Minneapolis,Modified MN,Modified USA,Modified 45.145,Modified -93.21138889
Modified ANI,Modified Aniak,Modified Aniak,Modified AK,Modified USA,Modified 61.58159694,Modified -159.5430428
Modified ANQ,Modified Steuben County-Tri State,Modified Angola,Modified IN,Modified USA,Modified 41.63969833,Modified -85.08349333
Modified ANV,Modified Anvik,Modified Anvik,Modified AK,Modified USA,Modified 62.64858333,Modified -160.1898889
Modified ANW,Modified Ainsworth Municipal,Modified Ainsworth,Modified NE,Modified USA,Modified 42.57922222,Modified -99.99297222
Modified ANY,Modified Anthony Municipal,Modified Anthony,Modified KS,Modified USA,Modified 37.15852194,Modified -98.07964667
Modified AOC,Modified Arco-Butte County,Modified Arco,Modified ID,Modified USA,Modified 43.60343056,Modified -113.3340972
Modified AOH,Modified Allen County,Modified Lima,Modified OH,Modified USA,Modified 40.70694444,Modified -84.02666667
Modified AOO,Modified Altoona-Blair Cty,Modified Altoona,Modified PA,Modified USA,Modified 40.29637222,Modified -78.32002306
Modified APA,Modified Centennial,Modified Denver,Modified CO,Modified USA,Modified 39.57012833,Modified -104.8492942
Modified APC,Modified Napa County,Modified Napa,Modified CA,Modified USA,Modified 38.21319444,Modified -122.2806944
Modified APF,Modified Naples Municipal,Modified Naples,Modified FL,Modified USA,Modified 26.15247222,Modified -81.77544444
Modified APN,Modified Alpena County Regional,Modified Alpena,Modified MI,Modified USA,Modified 45.0780675,Modified -83.56028583
Modified APT,Modified Marion County-Brown,Modified Jasper,Modified TN,Modified USA,Modified 35.06067778,Modified -85.58531667
Modified APV,Modified Apple Valley,Modified Apple Valley,Modified CA,Modified USA,Modified 34.57528944,Modified -117.1861792
Modified AQC,Modified Klawock SPB,Modified Klawock,Modified AK,Modified USA,Modified 55.5546575,Modified -133.1016928
Modified AQH,Modified Kwinhagak,Modified Quinhagak,Modified AK,Modified USA,Modified 59.75700722,Modified -161.8794789
Modified AQT,Modified Nuiqsut,Modified Nuiqsut,Modified AK,Modified USA,Modified 70.20995278,Modified -151.0055611
Modified AQW,Modified Harriman And West,Modified North Adams,Modified MA,Modified USA,Modified 42.69591417,Modified -73.17038306
Modified AQY,Modified Girdwood,Modified Girdwood,Modified AK,Modified USA,Modified 60.96609583,Modified -149.1257892
Modified ARA,Modified Acadiana Regional,Modified New Iberia,Modified LA,Modified USA,Modified 30.03775833,Modified -91.88389611
Modified ARB,Modified Ann Arbor Municipal,Modified Ann Arbor,Modified MI,Modified USA,Modified 42.22298361,Modified -83.74560722
Modified ARC,Modified Arctic Village,Modified Arctic Village,Modified AK,Modified USA,Modified 68.11608083,Modified -145.5761114
Modified ARG,Modified Walnut Ridge Regional,Modified Walnut Ridge,Modified AR,Modified USA,Modified 36.12534667,Modified -90.92461944
Modified ARR,Modified Aurora Municipal,Modified Chicago/Aurora,Modified IL,Modified USA,Modified 41.77192944,Modified -88.47565917
Modified ART,Modified Watertown Intl,Modified Watertown,Modified NY,Modified USA,Modified 43.99192222,Modified -76.02173861
Modified ARV,Modified Lakeland,Modified Minocqua-Woodruff,Modified WI,Modified USA,Modified 45.92792556,Modified -89.73094278
Modified ASD,Modified Slidell,Modified Slidell,Modified LA,Modified USA,Modified 30.345055,Modified -89.82078833
Modified ASE,Modified Aspen-Pitkin Co/Sardy,Modified Aspen,Modified CO,Modified USA,Modified 39.22316,Modified -106.868845
Modified ASG,Modified Springdale Municipal,Modified Springdale,Modified AR,Modified USA,Modified 36.17641056,Modified -94.11925833
Modified ASH,Modified Boire,Modified Nashua,Modified NH,Modified USA,Modified 42.78176306,Modified -71.51477944
Modified ASJ,Modified Tri-County,Modified Ahoskie,Modified NC,Modified USA,Modified 36.29752583,Modified -77.17085556
Modified ASL,Modified Marshall - Harrison County,Modified Marshall,Modified TX,Modified USA,Modified 32.5205,Modified -94.30777778
Modified ASN,Modified Talladega Municipal,Modified Talladega,Modified AL,Modified USA,Modified 33.56991111,Modified -86.05085833
Modified AST,Modified Astoria Regional,Modified Astoria,Modified OR,Modified USA,Modified 46.15797222,Modified -123.8786944
Modified ASW,Modified Warsaw Municipal,Modified Warsaw,Modified IN,Modified USA,Modified 41.2747,Modified -85.84005556
Modified ASX,Modified John F Kennedy Memorial,Modified Ashland,Modified WI,Modified USA,Modified 46.54852806,Modified -90.91896639
Modified ATA,Modified Hall-Miller Municipal,Modified Atlanta,Modified TX,Modified USA,Modified 33.101805,Modified -94.19532694
Modified ATK,Modified Atqasuk,Modified Atqasuk,Modified AK,Modified USA,Modified 70.46727611,Modified -157.4357361
Modified ATL,Modified William B Hartsfield-Atlanta Intl,Modified Atlanta,Modified GA,Modified USA,Modified 33.64044444,Modified -84.42694444
Modified ATS,Modified Artesia Municipal,Modified Artesia,Modified NM,Modified USA,Modified 32.85252806,Modified -104.4676864
Modified ATW,Modified Outagamie County Regional,Modified Appleton,Modified WI,Modified USA,Modified 44.25740806,Modified -88.51947556
Modified ATY,Modified Watertown Municipal,Modified Watertown,Modified SD,Modified USA,Modified 44.91398056,Modified -97.15471944
Modified AUG,Modified Augusta State,Modified Augusta,Modified ME,Modified USA,Modified 44.32064972,Modified -69.79731806
Modified AUH,Modified Aurora Municipal,Modified Aurora,Modified NE,Modified USA,Modified 40.89413889,Modified -97.99455556
Modified AUK,Modified Alakanuk,Modified Alakanuk,Modified AK,Modified USA,Modified 62.68004417,Modified -164.6599253
Modified AUM,Modified Austin Municipal,Modified Austin,Modified MN,Modified USA,Modified 43.66499083,Modified -92.933385
Modified AUN,Modified Auburn Municipal,Modified Auburn,Modified CA,Modified USA,Modified 38.95476944,Modified -121.0820806
Modified AUO,Modified Auburn-Opelik,Modified Auburn,Modified AL,Modified USA,Modified 32.61635417,Modified -85.43355944
Modified AUS,Modified Austin-Bergstrom International,Modified Austin,Modified TX,Modified USA,Modified 30.19453278,Modified -97.66987194
Modified AUW,Modified Wausau Municipal,Modified Wausau,Modified WI,Modified USA,Modified 44.92847222,Modified -89.62661111
