MODIFIED IATA,MODIFIED NAME,MODIFIED CITY,MODIFIED STATE,MODIFIED COUNTRY,MODIFIED LATITUDE,MODIFIED LONGITUDE
MODIFIED 08M,MODIFIED CARTHAGE-LEAKE COUNTY,MODIFIED CARTHAGE,MODIFIED MS,MODIFIED USA,MODIFIED 32.76124611,MODIFIED -89.53007139
MODIFIED 09A,MODIFIED BUTLER-CHOCTAW COUNTY,MODIFIED BUTLER,MODIFIED AL,MODIFIED USA,MODIFIED 32.11931306,MODIFIED -88.1274625
MODIFIED 09J,MODIFIED JEKYLL ISLAND,MODIFIED JEKYLL ISLAND,MODIFIED GA,MODIFIED USA,MODIFIED 31.07447222,MODIFIED -81.42777778
MODIFIED 09K,MODIFIED SARGENT MUNICIPAL,MODIFIED SARGENT,MODIFIED NE,MODIFIED USA,MODIFIED 41.63695083,MODIFIED -99.34038139
MODIFIED 09M,MODIFIED CHARLESTON MUNICIPAL,MODIFIED CHARLESTON,MODIFIED MS,MODIFIED USA,MODIFIED 33.99150222,MODIFIED -90.078145
MODIFIED 09W,MODIFIED SOUTH CAPITOL STREET,MODIFIED WASHINGTON,MODIFIED DC,MODIFIED USA,MODIFIED 38.86872333,MODIFIED -77.00747583
MODIFIED 0A3,MODIFIED SMITHVILLE MUNICIPAL,MODIFIED SMITHVILLE,MODIFIED TN,MODIFIED USA,MODIFIED 35.98531194,MODIFIED -85.80931806
MODIFIED 0A8,MODIFIED BIBB COUNTY,MODIFIED CENTREVILLE,MODIFIED AL,MODIFIED USA,MODIFIED 32.93679056,MODIFIED -87.08888306
MODIFIED 0A9,MODIFIED ELIZABETHTON MUNICIPAL,MODIFIED ELIZABETHTON,MODIFIED TN,MODIFIED USA,MODIFIED 36.37094306,MODIFIED -82.17374111
MODIFIED 0AK,MODIFIED PILOT STATION,MODIFIED PILOT STATION,MODIFIED AK,MODIFIED USA,MODIFIED 61.93396417,MODIFIED -162.8929358
MODIFIED 0B1,MODIFIED COL. DYKE,MODIFIED BETHEL,MODIFIED ME,MODIFIED USA,MODIFIED 44.42506444,MODIFIED -70.80784778
MODIFIED 0B4,MODIFIED HARTINGTON MUNICIPAL,MODIFIED HARTINGTON,MODIFIED NE,MODIFIED USA,MODIFIED 42.60355556,MODIFIED -97.25263889
MODIFIED 0B5,MODIFIED TURNERS FALLS,MODIFIED MONTAGUE,MODIFIED MA,MODIFIED USA,MODIFIED 42.59136361,MODIFIED -72.52275472
MODIFIED 0B7,MODIFIED WARREN-SUGAR BUSH,MODIFIED WARREN,MODIFIED VT,MODIFIED USA,MODIFIED 44.11672722,MODIFIED -72.82705806
MODIFIED 0B8,MODIFIED ELIZABETH,MODIFIED FISHERS ISLAND,MODIFIED NY,MODIFIED USA,MODIFIED 41.25130806,MODIFIED -72.03161139
MODIFIED 0C0,MODIFIED DACY,MODIFIED CHICAGO/HARVARD,MODIFIED IL,MODIFIED USA,MODIFIED 42.40418556,MODIFIED -88.63343222
MODIFIED 0C4,MODIFIED PENDER MUNICIPAL,MODIFIED PENDER,MODIFIED NE,MODIFIED USA,MODIFIED 42.11388722,MODIFIED -96.72892556
MODIFIED 0D1,MODIFIED SOUTH HAVEN MUNICIPAL,MODIFIED SOUTH HAVEN,MODIFIED MI,MODIFIED USA,MODIFIED 42.35083333,MODIFIED -86.25613889
MODIFIED 0D8,MODIFIED GETTYSBURG MUNICIPAL,MODIFIED GETTYSBURG,MODIFIED SD,MODIFIED USA,MODIFIED 44.98730556,MODIFIED -99.9535
MODIFIED 0E0,MODIFIED MORIARTY,MODIFIED MORIARTY,MODIFIED NM,MODIFIED USA,MODIFIED 34.98560639,MODIFIED -106.0094661
MODIFIED 0E8,MODIFIED CROWNPOINT,MODIFIED CROWNPOINT,MODIFIED NM,MODIFIED USA,MODIFIED 35.71765889,MODIFIED -108.2015961
MODIFIED 0F2,MODIFIED BOWIE MUNICIPAL,MODIFIED BOWIE,MODIFIED TX,MODIFIED USA,MODIFIED 33.60166667,MODIFIED -97.77556
MODIFIED 0F4,MODIFIED LOUP CITY MUNICIPAL,MODIFIED LOUP CITY,MODIFIED NE,MODIFIED USA,MODIFIED 41.29028694,MODIFIED -98.99064278
MODIFIED 0F7,MODIFIED FOUNTAINHEAD LODGE AIRPARK,MODIFIED EUFAULA,MODIFIED OK,MODIFIED USA,MODIFIED 35.38898833,MODIFIED -95.60165111
MODIFIED 0F8,MODIFIED WILLIAM R POGUE MUNICIPAL,MODIFIED SAND SPRINGS,MODIFIED OK,MODIFIED USA,MODIFIED 36.17528,MODIFIED -96.15181028
MODIFIED 0F9,MODIFIED TISHOMINGO AIRPARK,MODIFIED TISHOMINGO,MODIFIED OK,MODIFIED USA,MODIFIED 34.19592833,MODIFIED -96.67555694
MODIFIED 0G0,MODIFIED NORTH BUFFALO SUBURBAN,MODIFIED LOCKPORT,MODIFIED NY,MODIFIED USA,MODIFIED 43.10318389,MODIFIED -78.70334583
MODIFIED 0G3,MODIFIED TECUMSEH MUNICIPAL,MODIFIED TECUMSEH,MODIFIED NE,MODIFIED USA,MODIFIED 40.39944417,MODIFIED -96.17139694
MODIFIED 0G6,MODIFIED WILLIAMS COUNTY,MODIFIED BRYAN,MODIFIED OH,MODIFIED USA,MODIFIED 41.46736111,MODIFIED -84.50655556
MODIFIED 0G7,MODIFIED FINGER LAKES REGIONAL,MODIFIED SENECA FALLS,MODIFIED NY,MODIFIED USA,MODIFIED 42.88062278,MODIFIED -76.78162028
MODIFIED 0H1,MODIFIED TREGO WAKEENEY,MODIFIED WAKEENEY,MODIFIED KS,MODIFIED USA,MODIFIED 39.0044525,MODIFIED -99.89289917
MODIFIED 0I8,MODIFIED CYNTHIANA-HARRISON COUNTY,MODIFIED CYNTHIANA,MODIFIED KY,MODIFIED USA,MODIFIED 38.36674167,MODIFIED -84.28410056
MODIFIED 0J0,MODIFIED ABBEVILLE MUNICIPAL,MODIFIED ABBEVILLE,MODIFIED AL,MODIFIED USA,MODIFIED 31.60016778,MODIFIED -85.23882222
MODIFIED 0J4,MODIFIED FLORALA MUNICIPAL,MODIFIED FLORALA,MODIFIED AL,MODIFIED USA,MODIFIED 31.04247361,MODIFIED -86.31156111
MODIFIED 0J6,MODIFIED HEADLAND MUNICIPAL,MODIFIED HEADLAND,MODIFIED AL,MODIFIED USA,MODIFIED 31.364895,MODIFIED -85.30965556
MODIFIED 0K7,MODIFIED HUMBOLDT MUNICIPAL,MODIFIED HUMBOLDT,MODIFIED IA,MODIFIED USA,MODIFIED 42.7360825,MODIFIED -94.24524167
MODIFIED 0L5,MODIFIED GOLDFIELD,MODIFIED GOLDFIELD,MODIFIED NV,MODIFIED USA,MODIFIED 37.71798833,MODIFIED -117.2384119
MODIFIED 0L7,MODIFIED JEAN,MODIFIED JEAN,MODIFIED NV,MODIFIED USA,MODIFIED 35.76827222,MODIFIED -115.3296378
MODIFIED 0L9,MODIFIED ECHO BAY,MODIFIED OVERTON,MODIFIED NV,MODIFIED USA,MODIFIED 36.31108972,MODIFIED -114.4638672
MODIFIED 0M0,MODIFIED DUMAS MUNICIPAL,MODIFIED DUMAS,MODIFIED AR,MODIFIED USA,MODIFIED 33.8845475,MODIFIED -91.53429111
MODIFIED 0M1,MODIFIED SCOTT,MODIFIED PARSONS,MODIFIED TN,MODIFIED USA,MODIFIED 35.63778,MODIFIED -88.127995
MODIFIED 0M4,MODIFIED BENTON COUNTY,MODIFIED CAMDEN,MODIFIED TN,MODIFIED USA,MODIFIED 36.01122694,MODIFIED -88.12328833
MODIFIED 0M5,MODIFIED HUMPHREYS COUNTY,MODIFIED WAVERLY,MODIFIED TN,MODIFIED USA,MODIFIED 36.11659972,MODIFIED -87.73815889
MODIFIED 0M6,MODIFIED PANOLA COUNTY,MODIFIED BATESVILLE,MODIFIED MS,MODIFIED USA,MODIFIED 34.36677444,MODIFIED -89.90008917
MODIFIED 0M8,MODIFIED BYERLEY,MODIFIED LAKE PROVIDENCE,MODIFIED LA,MODIFIED USA,MODIFIED 32.82587917,MODIFIED -91.187665
MODIFIED 0O3,MODIFIED CALAVERAS CO-MAURY RASMUSSEN,MODIFIED SAN ANDREAS,MODIFIED CA,MODIFIED USA,MODIFIED 38.14611639,MODIFIED -120.6481733
MODIFIED 0O4,MODIFIED CORNING MUNICIPAL,MODIFIED CORNING,MODIFIED CA,MODIFIED USA,MODIFIED 39.94376806,MODIFIED -122.1713781
MODIFIED 0O5,MODIFIED UNIVERSITY,MODIFIED DAVIS,MODIFIED CA,MODIFIED USA,MODIFIED 38.53146222,MODIFIED -121.7864906
MODIFIED 0Q5,MODIFIED SHELTER COVE,MODIFIED SHELTER COVE,MODIFIED CA,MODIFIED USA,MODIFIED 40.02764333,MODIFIED -124.0733639
MODIFIED 0Q6,MODIFIED SHINGLETOWN,MODIFIED SHINGLETOWN,MODIFIED CA,MODIFIED USA,MODIFIED 40.52210111,MODIFIED -121.8177683
MODIFIED 0R0,MODIFIED COLUMBIA-MARION COUNTY,MODIFIED COLUMBIA,MODIFIED MS,MODIFIED USA,MODIFIED 31.29700806,MODIFIED -89.81282944
MODIFIED 0R1,MODIFIED ATMORE MUNICIPAL,MODIFIED ATMORE,MODIFIED AL,MODIFIED USA,MODIFIED 31.01621528,MODIFIED -87.44675972
MODIFIED 0R3,MODIFIED ABBEVILLE CHRIS CRUSTA MEMORIAL,MODIFIED ABBEVILLE,MODIFIED LA,MODIFIED USA,MODIFIED 29.97576083,MODIFIED -92.08415167
MODIFIED 0R4,MODIFIED CONCORDIA PARISH,MODIFIED VIDALIA,MODIFIED LA,MODIFIED USA,MODIFIED 31.56683278,MODIFIED -91.50011889
MODIFIED 0R5,MODIFIED DAVID G JOYCE,MODIFIED WINNFIELD,MODIFIED LA,MODIFIED USA,MODIFIED 31.96366222,MODIFIED -92.66026056
MODIFIED 0R7,MODIFIED RED RIVER,MODIFIED COUSHATTA,MODIFIED LA,MODIFIED USA,MODIFIED 31.99071694,MODIFIED -93.30739306
MODIFIED 0S7,MODIFIED DOROTHY SCOTT,MODIFIED OROVILLE,MODIFIED WA,MODIFIED USA,MODIFIED 48.958965,MODIFIED -119.4119622
MODIFIED 0S9,MODIFIED JEFFERSON COUNTY INTERNATIONAL,MODIFIED PORT TOWNSEND,MODIFIED WA,MODIFIED USA,MODIFIED 48.04981361,MODIFIED -122.8012792
MODIFIED 0V2,MODIFIED HARRIET ALEXANDER,MODIFIED SALIDA,MODIFIED CO,MODIFIED USA,MODIFIED 38.53916389,MODIFIED -106.0458483
MODIFIED 0V3,MODIFIED PIONEER VILLAGE,MODIFIED MINDEN,MODIFIED NE,MODIFIED USA,MODIFIED 40.5149125,MODIFIED -98.94565083
MODIFIED 0V4,MODIFIED BROOKNEAL/CAMPBELL COUNTY,MODIFIED BROOKNEAL,MODIFIED VA,MODIFIED USA,MODIFIED 37.14172222,MODIFIED -79.01638889
MODIFIED 0V6,MODIFIED MISSION SIOUX,MODIFIED MISSION,MODIFIED SD,MODIFIED USA,MODIFIED 43.30694778,MODIFIED -100.6281936
MODIFIED 0V7,MODIFIED KAYENTA,MODIFIED KAYENTA,MODIFIED AZ,MODIFIED USA,MODIFIED 36.70972139,MODIFIED -110.2367978
MODIFIED 10C,MODIFIED GALT,MODIFIED CHICAGO/GREENWOOD/WONDERLAKE,MODIFIED IL,MODIFIED USA,MODIFIED 42.40266472,MODIFIED -88.37588917
MODIFIED 10D,MODIFIED WINSTED MUNICIPAL,MODIFIED WINSTED,MODIFIED MN,MODIFIED USA,MODIFIED 44.94996278,MODIFIED -94.0669175
MODIFIED 10G,MODIFIED HOLMES COUNTY,MODIFIED MILLERSBURG,MODIFIED OH,MODIFIED USA,MODIFIED 40.53716667,MODIFIED -81.95436111
MODIFIED 10N,MODIFIED WALLKILL,MODIFIED WALLKILL,MODIFIED NY,MODIFIED USA,MODIFIED 41.62787111,MODIFIED -74.13375583
MODIFIED 10U,MODIFIED OWYHEE,MODIFIED OWYHEE,MODIFIED NV,MODIFIED USA,MODIFIED 41.95323306,MODIFIED -116.1876014
MODIFIED 11A,MODIFIED CLAYTON MUNICIPAL,MODIFIED CLAYTON,MODIFIED AL,MODIFIED USA,MODIFIED 31.88329917,MODIFIED -85.48491361
MODIFIED 11D,MODIFIED CLARION CTY,MODIFIED CLARION,MODIFIED PA,MODIFIED USA,MODIFIED 41.22581222,MODIFIED -79.44098972
MODIFIED 11IS,MODIFIED SCHAUMBURG HELIPORT,MODIFIED CHICAGO/SCHAUMBURG,MODIFIED IL,MODIFIED USA,MODIFIED 42.04808278,MODIFIED -88.05257194
MODIFIED 11J,MODIFIED EARLY COUNTY,MODIFIED BLAKELY,MODIFIED GA,MODIFIED USA,MODIFIED 31.39698611,MODIFIED -84.89525694
MODIFIED 11R,MODIFIED BRENHAM MUNICIPAL,MODIFIED BRENHAM,MODIFIED TX,MODIFIED USA,MODIFIED 30.219,MODIFIED -96.37427778
MODIFIED 12C,MODIFIED ROCHELLE MUNICIPAL,MODIFIED ROCHELLE,MODIFIED IL,MODIFIED USA,MODIFIED 41.89300139,MODIFIED -89.07829
MODIFIED 12D,MODIFIED TOWER MUNICIPAL,MODIFIED TOWER,MODIFIED MN,MODIFIED USA,MODIFIED 47.81833333,MODIFIED -92.29166667
MODIFIED 12J,MODIFIED BREWTON MUNICIPAL,MODIFIED BREWTON,MODIFIED AL,MODIFIED USA,MODIFIED 31.05126306,MODIFIED -87.06796833
MODIFIED 12K,MODIFIED SUPERIOR MUNICIPAL,MODIFIED SUPERIOR,MODIFIED NE,MODIFIED USA,MODIFIED 40.04636111,MODIFIED -98.06011111
MODIFIED 12Y,MODIFIED LE SUEUR MUNICIPAL,MODIFIED LE SUEUR,MODIFIED MN,MODIFIED USA,MODIFIED 44.43746472,MODIFIED -93.91274083
MODIFIED 13C,MODIFIED LAKEVIEW,MODIFIED LAKEVIEW,MODIFIED MI,MODIFIED USA,MODIFIED 43.45213722,MODIFIED -85.26480333
MODIFIED 13K,MODIFIED EUREKA MUNICIPAL,MODIFIED EUREKA,MODIFIED KS,MODIFIED USA,MODIFIED 37.8515825,MODIFIED -96.29169806
MODIFIED 13N,MODIFIED TRINCA,MODIFIED ANDOVER,MODIFIED NJ,MODIFIED USA,MODIFIED 40.96676444,MODIFIED -74.78016556
MODIFIED 14J,MODIFIED CARL FOLSOM,MODIFIED ELBA,MODIFIED AL,MODIFIED USA,MODIFIED 31.40988861,MODIFIED -86.08883583
MODIFIED 14M,MODIFIED HOLLANDALE MUNICIPAL,MODIFIED HOLLANDALE,MODIFIED MS,MODIFIED USA,MODIFIED 33.18262167,MODIFIED -90.83065444
MODIFIED 14Y,MODIFIED TODD FIELD,MODIFIED LONG PRAIRIE,MODIFIED MN,MODIFIED USA,MODIFIED 45.89857556,MODIFIED -94.87391
MODIFIED 15F,MODIFIED HASKELL MUNICIPAL,MODIFIED HASKELL,MODIFIED TX,MODIFIED USA,MODIFIED 33.19155556,MODIFIED -99.71793056
MODIFIED 15J,MODIFIED COOK COUNTY,MODIFIED ADEL,MODIFIED GA,MODIFIED USA,MODIFIED 31.13780556,MODIFIED -83.45308333
MODIFIED 15M,MODIFIED LUKA,MODIFIED LUKA,MODIFIED MS,MODIFIED USA,MODIFIED 34.7723125,MODIFIED -88.16587444
MODIFIED 15Z,MODIFIED MCCARTHY 2,MODIFIED MCCARTHY,MODIFIED AK,MODIFIED USA,MODIFIED 61.43706083,MODIFIED -142.9037372
MODIFIED 16A,MODIFIED NUNAPITCHUK,MODIFIED NUNAPITCHUK,MODIFIED AK,MODIFIED USA,MODIFIED 60.90582833,MODIFIED -162.4391158
MODIFIED 16G,MODIFIED SENECA COUNTY,MODIFIED TIFFIN,MODIFIED OH,MODIFIED USA,MODIFIED 41.09405556,MODIFIED -83.2125
MODIFIED 16J,MODIFIED DAWSON MUNICIPAL,MODIFIED DAWSON,MODIFIED GA,MODIFIED USA,MODIFIED 31.74328472,MODIFIED -84.419285
MODIFIED 16S,MODIFIED MYRTLE CREEK MUNICIPAL,MODIFIED MYRTLE CREEK,MODIFIED OR,MODIFIED USA,MODIFIED 42.99845056,MODIFIED -123.3095092
MODIFIED 17G,MODIFIED PORT BUCYRUS-CRAWFORD COUNTY,MODIFIED BUCYRUS,MODIFIED OH,MODIFIED USA,MODIFIED 40.78141667,MODIFIED -82.97469444
MODIFIED 17J,MODIFIED DONALSONVILLE MUNICIPAL,MODIFIED DONALSONVILLE,MODIFIED GA,MODIFIED USA,MODIFIED 31.00694444,MODIFIED -84.87761111
MODIFIED 17K,MODIFIED BOISE CITY,MODIFIED BOISE CITY,MODIFIED OK,MODIFIED USA,MODIFIED 36.77430028,MODIFIED -102.5104364
MODIFIED 17M,MODIFIED MAGEE MUNICIPAL,MODIFIED MAGEE,MODIFIED MS,MODIFIED USA,MODIFIED 31.86127139,MODIFIED -89.80285361
MODIFIED 17N,MODIFIED CROSS KEYS,MODIFIED CROSS KEYS,MODIFIED NJ,MODIFIED USA,MODIFIED 39.70547583,MODIFIED -75.03300306
MODIFIED 17Z,MODIFIED MANOKOTAK,MODIFIED MANOKOTAK,MODIFIED AK,MODIFIED USA,MODIFIED 58.98896583,MODIFIED -159.0499739
MODIFIED 18A,MODIFIED FRANKLIN COUNTY,MODIFIED CANON,MODIFIED GA,MODIFIED USA,MODIFIED 34.34010472,MODIFIED -83.13348333
MODIFIED 18I,MODIFIED MCCREARY COUNTY,MODIFIED PINE KNOT,MODIFIED KY,MODIFIED USA,MODIFIED 36.69591306,MODIFIED -84.39160389
MODIFIED 19A,MODIFIED JACKSON COUNTY,MODIFIED JEFFERSON,MODIFIED GA,MODIFIED USA,MODIFIED 34.17402472,MODIFIED -83.56066528
MODIFIED 19M,MODIFIED C A MOORE,MODIFIED LEXINGTON,MODIFIED MS,MODIFIED USA,MODIFIED 33.12546111,MODIFIED -90.02555694
MODIFIED 19N,MODIFIED CAMDEN,MODIFIED BERLIN,MODIFIED NJ,MODIFIED USA,MODIFIED 39.77842056,MODIFIED -74.94780389
MODIFIED 19P,MODIFIED PORT PROTECTION SPB,MODIFIED PORT PROTECTION,MODIFIED AK,MODIFIED USA,MODIFIED 56.32880417,MODIFIED -133.6100844
MODIFIED 1A3,MODIFIED MARTIN CAMPBELL,MODIFIED COPPERHILL,MODIFIED TN,MODIFIED USA,MODIFIED 35.01619111,MODIFIED -84.34631083
MODIFIED 1A5,MODIFIED MACON COUNTY,MODIFIED FRANKLIN,MODIFIED NC,MODIFIED USA,MODIFIED 35.222595,MODIFIED -83.41904389
MODIFIED 1A6,MODIFIED MIDDLESBORO-BELL COUNTY,MODIFIED MIDDLESBORO,MODIFIED KY,MODIFIED USA,MODIFIED 36.6106375,MODIFIED -83.73741611
MODIFIED 1A7,MODIFIED JACKSON COUNTY,MODIFIED GAINESBORO,MODIFIED TN,MODIFIED USA,MODIFIED 36.39728139,MODIFIED -85.64164278
MODIFIED 1A9,MODIFIED AUTAUGA COUNTY,MODIFIED PRATTVILLE,MODIFIED AL,MODIFIED USA,MODIFIED 32.438775,MODIFIED -86.51044778
MODIFIED 1B0,MODIFIED DEXTER REGIONAL,MODIFIED DEXTER,MODIFIED ME,MODIFIED USA,MODIFIED 45.00839444,MODIFIED -69.23976722
MODIFIED 1B1,MODIFIED COLUMBIA CTY,MODIFIED HUDSON,MODIFIED NY,MODIFIED USA,MODIFIED 42.29130028,MODIFIED -73.71031944
MODIFIED 1B3,MODIFIED FAIR HAVEN,MODIFIED FAIR HAVEN,MODIFIED VT,MODIFIED USA,MODIFIED 43.61534389,MODIFIED -73.27455556
MODIFIED 1B9,MODIFIED MANSFIELD MUNICIPAL,MODIFIED MANSFIELD,MODIFIED MA,MODIFIED USA,MODIFIED 42.00013306,MODIFIED -71.19677139
MODIFIED 1C5,MODIFIED CLOW,MODIFIED CHICAGO/PLAINFIELD,MODIFIED IL,MODIFIED USA,MODIFIED 41.69597444,MODIFIED -88.12923056
MODIFIED 1D1,MODIFIED MILBANK MUNICIPAL,MODIFIED MILBANK,MODIFIED SD,MODIFIED USA,MODIFIED 45.23053806,MODIFIED -96.56596556
MODIFIED 1D2,MODIFIED CANTON -PLYMOUTH -  METTETAL,MODIFIED PLYMOUTH,MODIFIED MI,MODIFIED USA,MODIFIED 42.35003667,MODIFIED -83.45826833
MODIFIED 1D3,MODIFIED PLATTE MUNICIPAL,MODIFIED PLATTE,MODIFIED SD,MODIFIED USA,MODIFIED 43.40332833,MODIFIED -98.82952972
MODIFIED 1D6,MODIFIED HECTOR MUNICIPAL,MODIFIED HECTOR,MODIFIED MN,MODIFIED USA,MODIFIED 44.73107278,MODIFIED -94.71471333
MODIFIED 1D7,MODIFIED WEBSTER MUNICIPAL,MODIFIED WEBSTER,MODIFIED SD,MODIFIED USA,MODIFIED 45.29329111,MODIFIED -97.51369889
MODIFIED 1D8,MODIFIED REDFIELD MUNICIPAL,MODIFIED REDFIELD,MODIFIED SD,MODIFIED USA,MODIFIED 44.86247611,MODIFIED -98.52953972
MODIFIED 1F0,MODIFIED DOWNTOWN ARDMORE,MODIFIED ARDMORE,MODIFIED OK,MODIFIED USA,MODIFIED 34.14698917,MODIFIED -97.12265194
MODIFIED 1F1,MODIFIED LAKE MURRAY STATE PARK,MODIFIED OVERBROOK,MODIFIED OK,MODIFIED USA,MODIFIED 34.07509694,MODIFIED -97.10667917
MODIFIED 1F4,MODIFIED MADILL MUNICIPAL,MODIFIED MADILL,MODIFIED OK,MODIFIED USA,MODIFIED 34.14040194,MODIFIED -96.81203222
MODIFIED 1F9,MODIFIED BRIDGEPORT MUNICIPAL,MODIFIED BRIDGEPORT,MODIFIED TX,MODIFIED USA,MODIFIED 33.17533333,MODIFIED -97.82838889
MODIFIED 1G0,MODIFIED WOOD COUNTY,MODIFIED BOWLING GREEN,MODIFIED OH,MODIFIED USA,MODIFIED 41.391,MODIFIED -83.63013889
MODIFIED 1G3,MODIFIED KENT STATE UNIVERSITY,MODIFIED KENT,MODIFIED OH,MODIFIED USA,MODIFIED 41.15186167,MODIFIED -81.41658306
MODIFIED 1G4,MODIFIED GRAND CANYON WEST,MODIFIED PEACH SPRINGS,MODIFIED AZ,MODIFIED USA,MODIFIED 35.99221,MODIFIED -113.8166164
MODIFIED 1G5,MODIFIED FREEDOM,MODIFIED MEDINA,MODIFIED OH,MODIFIED USA,MODIFIED 41.13144444,MODIFIED -81.76491667
MODIFIED 1G6,MODIFIED MICHAEL,MODIFIED CICERO,MODIFIED NY,MODIFIED USA,MODIFIED 43.18166667,MODIFIED -76.12777778
MODIFIED 1H0,MODIFIED CREVE COEUR,MODIFIED ST LOUIS,MODIFIED MO,MODIFIED USA,MODIFIED 38.72752,MODIFIED -90.50830417
